1	129	7	4000.555172	4.08e-32	0.3002	0.0888	0.394	0.62	0.0	1527.9168	117	99	#	#	#	#	#	#	4	6	2	4	2	0	0	0	0	0	0	0	1207	1203	1200	1420	1417	886	0	0	0	0	0	0
1	5	5	4000.570231	7.187e-29	0.08097	0.0842	0.394	0.79	-0.01202	304.2194	66	78	#	#	#	#	#	#	4	6	2	2	2	0	0	0	0	0	0	0	1206	1203	1198	1421	1416	1236	0	0	0	0	0	0
1	4	4	4000.579633	9.735e-27	1.099	0.0491	0.351	0.79	-0.01219	1244.4397	126	114	#	#	#	#	#	#	4	6	2	2	2	0	0	0	0	0	0	0	1206	1203	1198	1421	1416	1236	0	0	0	0	0	0
1	4	4	4000.582162	9.735e-27	1.099	0.0485	0.228	0.79	-0.01203	1244.4371	126	114	#	#	#	#	#	#	4	6	2	5	2	0	0	0	0	0	0	0	1206	1203	1198	1419	1416	1236	0	0	0	0	0	0
1	2	2	4000.603508	1.318e-26	25.71	0.0266	0.25	0.2	-0.0134	2239.0296	29	27	#	#	#	#	#	#	5	4	6	5	4	2	0	0	0	0	0	0	1387	1381	1419	817	1413	1413	0	0	0	0	0	0
1	6	6	4000.61072	2.599e-29	1.307	0.0591	0.364	0.79	-0.00817	804.7474	540	612	#	#	#	#	#	#	3	6	2	2	2	3	0	0	0	0	0	0	1206	1203	1199	1421	1416	38	0	0	0	0	0	0
1	129	7	4000.621863	3.89e-32	0.001025	0.0837	0.417	0.62	0.0	369.2661	117	135	#	#	#	#	#	#	4	6	2	2	2	0	0	0	0	0	0	0	1207	1203	1200	1422	1417	886	0	0	0	0	0	0
1	2	2	4000.627032	1.939e-29	1.822	0.0686	0.315	0.61	0.00102	2969.7219	21	19	#	#	#	#	#	#	4	3	4	2	3	3	0	0	0	0	0	0	1387	1380	1232	817	1411	1411	0	0	0	0	0	0
1	4	4	4000.63554	5.363e-27	0.5998	0.0776	0.358	0.79	0.00552	1278.4381	150	138	#	#	#	#	#	#	4	6	2	5	2	0	0	0	0	0	0	0	1206	1203	1198	1419	1416	1236	0	0	0	0	0	0
1	129	7	4000.684321	1.93e-30	0.01746	0.0914	0.513	0.62	0.0	114.9865	99	81	#	#	#	#	#	#	4	6	2	4	2	0	0	0	0	0	0	0	1207	1203	1200	1420	1417	886	0	0	0	0	0	0
